epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8962,0.49275,2.32092,1.02602,1,0.83291,0.97458,0.80678,0.60208,1.63956,1.0835,0.000659574,0.000659574,0.000659574
2,77.275,0.57624,1.45116,1.03424,0.79014,1,0.995,0.94653,0.4841,1.02195,1.09253,0.00129998,0.00129998,0.00129998
3,114.902,0.59684,0.97832,1.03066,0.41157,0.69977,0.60889,0.51848,0.6211,1.89143,1.0739,0.00191399,0.00191399,0.00191399
4,153.139,0.55499,0.735,1.00743,0.99725,1,0.995,0.92027,0.41555,0.54622,0.96369,0.0018812,0.0018812,0.0018812
5,191.058,0.54605,0.63808,1.00731,0.99328,1,0.995,0.91136,0.47466,0.56208,1.08824,0.0018416,0.0018416,0.0018416
6,229.736,0.52493,0.54505,0.99235,0.96209,1,0.995,0.90599,0.40888,0.36112,0.99141,0.001802,0.001802,0.001802
7,267.542,0.48945,0.48016,0.97827,0.99313,1,0.995,0.92988,0.38897,0.39205,0.97193,0.0017624,0.0017624,0.0017624
8,305.3,0.49574,0.48475,0.97879,0.99635,1,0.995,0.94006,0.32768,0.40095,0.90097,0.0017228,0.0017228,0.0017228
9,342.735,0.46538,0.44441,0.96987,0.99419,1,0.995,0.96442,0.2985,0.27007,0.8708,0.0016832,0.0016832,0.0016832
10,379.158,0.49283,0.44486,0.97948,0.99711,1,0.995,0.93753,0.39356,0.30783,0.92679,0.0016436,0.0016436,0.0016436
11,416.566,0.44904,0.38799,0.96245,0.9938,1,0.995,0.94533,0.36398,0.34962,0.93644,0.001604,0.001604,0.001604
12,456.225,0.43617,0.38367,0.94731,0.9947,1,0.995,0.995,0.26378,0.24778,0.85027,0.0015644,0.0015644,0.0015644
13,494.226,0.41065,0.38533,0.94143,0.99675,1,0.995,0.94199,0.34273,0.26944,0.92397,0.0015248,0.0015248,0.0015248
14,532.355,0.42395,0.36476,0.95469,0.99453,1,0.995,0.95584,0.35602,0.29219,0.92405,0.0014852,0.0014852,0.0014852
